transect_distance_m,datetime,latitude,snow_depth_m,melt_pond_depth_m,ice_thickness_mean_m,sw_absorbed_by_ocean,downwelling_radiative_flux_absorbed_by_ocean,surface_albedo,surface_downwelling_radiative_flux,transect_distance_m,par_absorbed_by_ocean
42.959115050252265,2020-06-27 11:23:43,81.95260999999999,0.04717,0.0,2.4818299999999995,0.937603771686554,0.937603771686554,0.8438209891319275,358.88238525390625,42.959115050252265,3.281613200902939
49.0765454847109,2020-06-27 11:23:59,81.95258,0.0808,0.0,2.6481714285714286,0.5026240944862366,0.5026240944862366,0.8585096597671509,365.9133605957031,49.0765454847109,1.759184330701828
51.997519870338216,2020-06-27 11:24:05,81.95256,0.05502,0.0,2.7331514285714285,0.6307590007781982,0.6307590007781982,0.8486776947975159,361.1766357421875,51.997519870338216,2.207656502723694
56.955113286773766,2020-06-27 11:24:12,81.95255,0.05277,0.0,2.896315714285714,0.541602373123169,0.541602373123169,0.8474506735801697,360.5943908691406,56.955113286773766,1.8956083059310913
62.46223066015939,2020-06-27 11:24:19,81.95254,0.0567,0.0,2.9083285714285707,0.5055639743804932,0.5055639743804932,0.8495798110961914,361.60614013671875,62.46223066015939,1.769473910331726
67.65669314981487,2020-06-27 11:24:26,81.95256,0.07631,0.0,2.9598899999999992,0.37228336930274963,0.37228336930274963,0.8572576642036438,365.3035888671875,67.65669314981487,1.3029917925596237
75.6572560289717,2020-06-27 11:24:34,81.95258,0.05782,0.0,3.564265714285713,0.2351122498512268,0.2351122498512268,0.8501989841461182,361.90087890625,75.6572560289717,0.8228928744792938
81.782995816763,2020-06-27 11:24:42,81.95260999999999,0.04885,0.0,3.7051499999999993,0.22709055244922638,0.22709055244922638,0.8451309204101562,359.49810791015625,81.782995816763,0.7948169335722923
88.40262341746497,2020-06-27 11:24:55,81.95260999999999,0.07295,0.0,3.8112785714285695,0.14582166075706482,0.14582166075706482,0.8562526702880859,364.81439208984375,88.40262341746497,0.5103758126497269
92.25114007286699,2020-06-27 11:25:03,81.95262,0.3172,0.0,3.4340285714285703,0.0,0.0,0.8724676370620728,372.8580322265625,92.25114007286699,0.0
96.86756174638212,2020-06-27 11:25:21,81.95264,0.1748999999999999,0.0,3.528357142857142,0.07752399891614914,0.07752399891614914,0.8698316812515259,371.52593994140625,96.86756174638212,0.271333996206522
103.15071935385404,2020-06-27 11:25:31,81.95264,0.0,0.1637,3.764985714285713,5.309201240539551,5.309201240539551,0.26214736700057983,205.0697784423828,103.15071935385404,18.582204341888428
107.25970427142433,2020-06-27 11:25:37,81.95266,0.1284,0.0,3.8858285714285694,0.07603283226490021,0.07603283226490021,0.8665958642959595,369.90374755859375,107.25970427142433,0.2661149129271507
112.45797927267176,2020-06-27 11:25:43,81.95268,0.0650999999999999,0.0,4.013042857142857,0.12712356448173523,0.12712356448173523,0.8534371256828308,363.4521484375,112.45797927267176,0.4449324756860733
117.18342484268936,2020-06-27 11:25:52,81.9527,0.03821,0.0,3.991304285714285,0.1932644098997116,0.1932644098997116,0.8366600275039673,355.5553894042969,117.18342484268936,0.6764254346489906
123.36208480052731,2020-06-27 11:26:01,81.95273,0.1088,0.0,3.884171428571429,0.09143822640180588,0.09143822640180588,0.8641862869262695,368.7041320800781,123.36208480052731,0.32003379240632057
129.40909909789454,2020-06-27 11:26:10,81.95276,0.111,0.0,3.958885714285714,0.08209462463855743,0.08209462463855743,0.8645048141479492,368.8617248535156,129.40909909789454,0.287331186234951
134.28794041554897,2020-06-27 11:26:20,81.95276,0.05838,0.0,3.983162857142856,0.14372886717319489,0.14372886717319489,0.8504927158355713,362.03863525390625,134.28794041554897,0.5030510351061821
140.06269795043045,2020-06-27 11:26:26,81.95276,0.1026,0.0,3.427571428571428,0.16458597779273987,0.16458597779273987,0.8632030487060547,368.2169189453125,140.06269795043045,0.5760509222745895
144.0387915554223,2020-06-27 11:26:37,81.95278,0.06118,0.0,3.320877142857143,0.2973410487174988,0.2973410487174988,0.8517524003982544,362.64111328125,144.0387915554223,1.0406936705112457
